Spectrum Name:						
Description:						
Student ID:						
Detector Used:						
Comments:						
Acquisition Mode:	PHA Direct In					
High Voltage:	0					
Conversion Gain:	1024					
Coarse Gain:	4					
Fine Gain:	1.45					
Upper Discriminator:	1					
Lower Discriminator:	0					
Calibration Coefficients:	0.098675676	0.001432432				
Calibration Channels:	750	861				
Calibration Energies:	1.173	1.332				
Elapsed Real Time:	386.24					
Elapsed Live Time:	300					
Start Time:	"noviembre 14, 2024, 05:01:11"					
End Time:	"noviembre 14, 2024, 05:07:37"					
ROIs:						
ROI:	Low	High	Gross	Net	FWHM	Centroid
						
1	431	663	31021	-20939	3	0
2	196	244	2228493	319941	27	0
3	34	58	1260246	188138	16	0
						
Channel Data:						
Channel	Energy	Counts				
818	1.270405405	1				
819	1.271837838	3				
820	1.27327027	1				
821	1.274702703	1				
822	1.276135135	0				
823	1.277567568	0				
824	1.279	0				
825	1.280432432	0				
826	1.281864865	1				
827	1.283297297	1				
828	1.28472973	2				
829	1.286162162	2				
830	1.287594595	3				
831	1.289027027	2				
832	1.290459459	3				
833	1.291891892	1				
834	1.293324324	1				
835	1.294756757	2				
836	1.296189189	3				
837	1.297621622	1				
838	1.299054054	0				
839	1.300486486	1				
840	1.301918919	1				
841	1.303351351	0				
842	1.304783784	0				
843	1.306216216	0				
844	1.307648649	0				
845	1.309081081	0				
846	1.310513514	1				
847	1.311945946	0				
848	1.313378378	1				
849	1.314810811	0				
850	1.316243243	1				
851	1.317675676	1				
852	1.319108108	0				
853	1.320540541	0				
854	1.321972973	0				
855	1.323405405	1				
856	1.324837838	0				
857	1.32627027	2				
858	1.327702703	1				
859	1.329135135	2				
860	1.330567568	1				
861	1.332	1				
862	1.333432432	2				
863	1.334864865	1				
864	1.336297297	0				
865	1.33772973	2				
866	1.339162162	0				
867	1.340594595	1				
868	1.342027027	1				
869	1.343459459	2				
870	1.344891892	1				
871	1.346324324	4				
872	1.347756757	0				
873	1.349189189	0				
874	1.350621622	0				
875	1.352054054	0				
876	1.353486486	0				
877	1.354918919	0				
878	1.356351351	4				
879	1.357783784	0				
880	1.359216216	0				
881	1.360648649	1				
882	1.362081081	0				
883	1.363513514	2				
884	1.364945946	3				
885	1.366378378	1				
886	1.367810811	1				
887	1.369243243	0				
888	1.370675676	0				
889	1.372108108	2				
890	1.373540541	2				
891	1.374972973	0				
892	1.376405405	3				
893	1.377837838	3				
894	1.37927027	3				
895	1.380702703	1				
896	1.382135135	1				
897	1.383567568	0				
898	1.385	2				
899	1.386432432	2				
900	1.387864865	1				
901	1.389297297	0				
902	1.39072973	1				
903	1.392162162	1				
904	1.393594595	0				
905	1.395027027	1				
906	1.396459459	0				
907	1.397891892	1				
